Startup Name,Industry,Country,Funding Stage,Amount Raised (USD),Funding Date,Number of Employees
Scott-Washington,E-commerce,Germany,Series B,15549789.0,2021-05-14,140
Myers PLC,SaaS,UK,Seed,141269.0,2023-02-25,407
Baxter-Fry,E-commerce,France,Series C,145114386.0,2020-07-27,338
Blankenship-Schmitt,Health,UK,Series C,128043754.0,2025-08-04,156
"Morgan, Hunter and Gibson",Gaming,Netherlands,Series C,62232670.0,2019-05-02,268
"Atkins, Jackson and Elliott",Health,Australia,Seed,324565.0,2020-03-29,16
Barnes LLC,AI,France,Seed,299752.0,2025-08-16,232
Ashley-Rose,Health,Netherlands,Seed,362095.0,2016-08-27,477
"Sanchez, Holmes and Smith",Tech,Australia,Series C,116144538.0,2024-05-04,349
Payne Ltd,E-commerce,Australia,Series A,1579620.0,2019-07-07,333
"Jones, Rivera and Murphy",Education,Germany,Series C,63166969.0,2019-09-07,20
Dean-Park,Gaming,France,Series C,68744847.0,2022-07-12,136
"Parker, Robinson and Haynes",Health,Netherlands,Series B,45461093.0,2020-12-12,453
"Willis, Nichols and Lee",E-commerce,Canada,Series A,2587834.0,2023-08-07,301
Steele Inc,AI,UK,Series C,65146174.0,2026-01-03,493
"Davidson, Russell and Bentley",Gaming,France,Series B,14386427.0,2018-11-04,337
"Austin, Craig and Sanchez",SaaS,Germany,IPO,844691545.0,2022-02-15,382
Greene-Moon,Health,USA,Seed,393240.0,2020-04-29,164
"Mccarty, Vasquez and King",Education,Canada,Series A,5221724.0,2020-03-08,43
Bowman-Hernandez,Education,UK,Series C,89796161.0,2018-12-22,91
"Hill, Fuller and Morgan",SaaS,USA,Series C,67634589.0,2019-01-14,391
Henderson Group,Education,France,Seed,133253.0,2025-08-30,286
Harris Inc,E-commerce,Canada,Series B,13779422.0,2025-03-17,269
Lewis-Munoz,Finance,USA,Series C,137376001.0,2025-04-08,313
Kemp-Guzman,Health,USA,IPO,363171954.0,2024-10-06,266
Martin LLC,SaaS,Netherlands,Series A,2494291.0,2021-04-10,143
Salinas Ltd,SaaS,Australia,Series C,167930087.0,2016-04-30,128
"Burgess, Robinson and Buck",Tech,Canada,IPO,439344490.0,2022-08-05,390
Arellano-Young,Tech,USA,Seed,226651.0,2021-05-08,40
"Lee, Mckee and Arnold",Finance,France,Series C,67095584.0,2025-08-07,242
Whitehead LLC,AI,India,IPO,316729744.0,2022-06-06,282
Silva-Leonard,Finance,India,Seed,89013.0,2020-03-15,380
"Long, Flores and Dudley",E-commerce,UK,IPO,801425573.0,2018-11-17,344
Harris LLC,Education,Netherlands,IPO,616565614.0,2024-05-18,384
"Williams, Lewis and Williams",AI,USA,Series A,9710958.0,2019-02-11,247
"Weiss, Baker and Dunn",Tech,UK,Series A,9746927.0,2022-05-05,258
"Padilla, Jones and Mccormick",SaaS,UK,Series B,20506444.0,2019-06-29,278
Bennett Group,Gaming,UK,Series A,2739498.0,2020-02-15,433
"Cordova, Kelley and Shea",SaaS,Canada,Series A,6954545.0,2020-02-01,451
Henderson-Evans,Health,Canada,Series A,4822237.0,2024-08-21,44
Gonzalez-Henderson,Tech,Netherlands,IPO,290142884.0,2016-10-30,65
Nixon Inc,AI,Canada,Seed,89420.0,2017-11-27,282
"Dawson, Reid and Simpson",AI,India,Series A,1418962.0,2025-01-16,146
Hoover-Jordan,Education,Netherlands,Seed,287651.0,2018-09-29,438
Mccarthy-Ramirez,Tech,Australia,Series C,72692509.0,2024-07-13,115
Martinez Inc,Health,Germany,Series A,7193700.0,2025-09-07,75
Williams LLC,Health,France,Series B,42083672.0,2025-10-02,139
Pierce-Wood,Health,Germany,IPO,559349214.0,2021-06-13,169
Ramirez-Hinton,Health,USA,Seed,475071.0,2021-10-16,148
"Bowman, Cross and Walker",Tech,Canada,Series C,180285671.0,2023-12-03,89
Stevenson PLC,Education,France,Series B,49810397.0,2023-02-08,347
"Smith, Kent and Butler",Finance,Netherlands,Series B,19146682.0,2016-10-05,119
"Dickerson, Swanson and Chase",SaaS,UK,Series B,20837145.0,2025-10-09,144
"Garrett, Christensen and Hunter",E-commerce,Germany,Series C,85502448.0,2023-02-11,84
White and Sons,Tech,USA,Series A,4534405.0,2017-10-30,114
Sanchez and Sons,AI,USA,Seed,332053.0,2018-04-26,357
"Rogers, Hawkins and Carter",AI,Australia,Seed,391934.0,2018-01-05,76
Duncan-Walker,Health,UK,Series A,5034661.0,2022-06-26,374
Matthews PLC,AI,Australia,Series C,186952104.0,2016-05-01,448
Evans-Hernandez,SaaS,India,Seed,367588.0,2018-01-24,388
Bailey PLC,AI,France,Series B,32569041.0,2024-11-03,244
"Peters, Carlson and Ball",Education,Netherlands,IPO,359604493.0,2024-10-15,271
"Cole, Johnson and Rodriguez",Tech,Canada,Series B,38144196.0,2016-09-29,162
Crawford Inc,Education,Australia,IPO,224548711.0,2018-01-12,347
Costa-Vasquez,Health,Germany,Series A,6252774.0,2019-03-29,100
"Garcia, Montes and Smith",AI,Australia,Seed,457492.0,2016-10-22,413
Bishop and Sons,AI,USA,IPO,731351627.0,2020-08-09,72
Stevenson-Lindsey,Health,Canada,IPO,658700937.0,2019-01-30,200
"Fisher, Santiago and Cantu",Health,Germany,Series A,3238179.0,2021-10-05,222
"Jacobs, Campbell and Velasquez",SaaS,Australia,Series B,34525430.0,2017-06-20,298
"Ryan, Jackson and Cummings",Tech,Australia,IPO,748101746.0,2019-09-17,280
"Parker, Roberts and Reynolds",SaaS,UK,Series C,150243756.0,2022-02-14,311
"Villanueva, Brown and White",Finance,Netherlands,IPO,747873493.0,2016-05-30,142
Allen-Brennan,Health,Germany,Series B,43867995.0,2024-09-08,485
"Carter, Brown and Mcclain",E-commerce,Canada,Series C,115449445.0,2025-03-17,413
Carlson-Campbell,Health,UK,Series C,64023000.0,2016-12-31,328
Dyer Ltd,Finance,USA,Series C,77430143.0,2019-01-14,278
Coleman Ltd,Finance,Australia,Series B,28143676.0,2022-08-21,347
Meyer LLC,Health,France,Series C,182137734.0,2019-08-18,240
Ramirez-Davis,Gaming,Canada,Series C,197530611.0,2023-04-20,21
"Miller, Graves and Gonzalez",Education,Canada,Series B,19877285.0,2019-06-03,354
Howard-Smith,Education,India,Seed,83755.0,2020-07-11,226
"Jones, Smith and Morales",Education,Canada,Series C,178453730.0,2017-10-18,106
Briggs-Berry,AI,USA,IPO,267397386.0,2020-11-25,401
Sheppard LLC,E-commerce,Australia,Seed,250571.0,2023-09-25,482
Graham-Hayes,Health,France,Seed,198450.0,2020-09-03,85
Harding-Greer,Finance,UK,IPO,208327632.0,2021-05-04,297
Walker-Watkins,Gaming,Netherlands,Series C,149872972.0,2018-06-28,352
Palmer and Sons,Education,Netherlands,Series B,38859889.0,2019-01-16,326
"Burgess, Hawkins and Butler",AI,Australia,Series C,129946018.0,2016-02-09,320
"Townsend, Thomas and Barrett",Gaming,Netherlands,IPO,902739953.0,2017-06-07,296
"Wood, Williams and Thomas",SaaS,France,Series A,3910324.0,2022-01-10,43
Klein Ltd,Education,Germany,Series B,48049839.0,2019-02-02,214
Munoz-Maddox,Tech,Canada,Series C,68596374.0,2022-09-26,205
Miller Group,Tech,Australia,Series C,105626100.0,2017-12-09,99
Fox Inc,Health,India,IPO,811778920.0,2025-03-25,271
"Cannon, Welch and Parks",Gaming,Netherlands,Series B,37601075.0,2017-03-06,448
Martinez-Lowe,E-commerce,Australia,Series B,26297270.0,2018-03-25,261
Williams-Parker,E-commerce,Netherlands,Series C,80329484.0,2020-04-03,83
Dixon-Lang,AI,Canada,Series C,92661852.0,2017-08-19,252
"Schroeder, Lopez and Rice",Education,France,Series C,87157841.0,2021-01-13,222
Ford Inc,E-commerce,USA,Series C,175141351.0,2023-12-25,374
Nelson Inc,Gaming,India,Seed,202167.0,2023-04-29,51
"Gallegos, Gonzales and Davis",Education,Germany,Series B,36546061.0,2024-03-16,187
"Beck, Tran and Garrison",Finance,France,Series C,59208155.0,2025-11-13,310
Christian Group,Finance,Germany,Series A,5385546.0,2019-11-12,327
Frazier-Mitchell,Tech,India,Seed,247439.0,2021-04-14,360
"Gates, Brandt and Thompson",Finance,UK,Seed,289982.0,2017-12-26,13
"Martin, Le and Romero",Education,UK,Seed,246612.0,2020-04-12,202
Mason Group,AI,USA,Series A,7293939.0,2025-10-05,145
"Castro, Cummings and Coleman",E-commerce,Germany,Series A,1146759.0,2021-05-06,387
Rogers PLC,Education,Australia,Series A,8647695.0,2022-09-16,441
"Wright, Martinez and Young",Education,Germany,Series B,16170899.0,2024-06-27,449
James-Anthony,Education,India,IPO,564762138.0,2017-03-02,450
Collins-Andrews,Finance,Canada,Seed,129910.0,2017-12-03,451
Rose PLC,SaaS,USA,Series B,13101001.0,2016-07-22,342
Herring-Stewart,Finance,France,Series B,29798352.0,2017-12-09,394
"Smith, Williams and Carrillo",SaaS,Canada,IPO,906476579.0,2016-06-14,69
"Thompson, Hughes and Rodriguez",SaaS,USA,Series B,34920680.0,2022-02-21,302
Rivera Inc,Gaming,Australia,IPO,499893686.0,2021-11-05,324
"Boyd, Hughes and Alvarado",Education,Germany,Series A,2177911.0,2016-10-25,474
Watkins LLC,Finance,France,Series C,191813555.0,2023-05-13,352
Guzman-Lynch,Education,Netherlands,Seed,221842.0,2017-11-01,133
Ward and Sons,Finance,Australia,Seed,434019.0,2025-06-12,74
"Walker, Smith and Holland",Finance,India,Series A,9282523.0,2020-10-23,204
Obrien-Fowler,AI,France,Series B,20688810.0,2024-07-05,327
Sosa-Gonzalez,Finance,India,Seed,184956.0,2018-12-28,422
Schmidt-Matthews,Tech,USA,Seed,126509.0,2019-11-13,332
"Summers, Sutton and Austin",Tech,Netherlands,Series A,2960634.0,2025-12-20,410
Davis-Bradley,Gaming,India,Series C,149839470.0,2017-11-12,223
Hood Ltd,Health,Netherlands,Seed,401435.0,2020-05-10,453
"Hart, Roy and Bates",AI,USA,IPO,264725482.0,2017-04-19,324
"Nelson, Gibbs and Russell",SaaS,UK,Series C,102882624.0,2017-04-25,274
Collins-James,Tech,France,IPO,484335886.0,2021-02-03,295
Woodard Group,Education,Netherlands,IPO,342100049.0,2020-03-18,32
Bell-Hall,Education,France,IPO,758847373.0,2019-12-23,173
Lewis-Hutchinson,E-commerce,India,Series C,90601412.0,2025-12-18,141
May-Newman,SaaS,USA,Series C,145921921.0,2023-12-26,60
"Simmons, Richardson and Jimenez",SaaS,India,Series A,4832753.0,2024-05-10,155
Marshall Inc,Finance,India,Seed,70128.0,2018-01-04,202
Price Ltd,Tech,France,Series C,176733994.0,2021-01-18,175
"Mclaughlin, Simmons and Cox",Gaming,Netherlands,Series C,118756684.0,2018-11-28,479
"Ramirez, Fernandez and Chapman",Education,Germany,Series B,17491175.0,2019-03-27,36
Hall Inc,Tech,India,Series B,47673507.0,2019-05-03,304
Hall Group,E-commerce,Canada,Series A,7180215.0,2016-05-07,401
Barton-Ruiz,E-commerce,France,Seed,174824.0,2025-08-01,186
Hammond-Johnson,Finance,France,Seed,325891.0,2024-10-22,108
"Howard, Lewis and Petersen",Tech,Netherlands,Series A,3682015.0,2025-11-02,126
Moore-Mooney,Health,Australia,Series C,107107417.0,2016-01-19,328
Smith-Parks,AI,Germany,Seed,51812.0,2018-07-18,415
Avery Ltd,SaaS,Canada,Series C,132934081.0,2025-08-20,284
Burton-Duncan,Health,France,Seed,494333.0,2023-06-14,405
Anderson-Parker,Gaming,France,Series B,44177043.0,2016-12-11,78
White-Schaefer,AI,Australia,IPO,531213967.0,2023-02-21,478
Elliott Inc,Finance,Netherlands,IPO,303337581.0,2025-04-12,390
"Adams, Johnson and Warren",Education,Netherlands,Seed,279253.0,2016-11-09,239
"Simmons, Hardy and Strong",Education,Germany,Seed,204491.0,2024-04-30,102
Nguyen-Martinez,Health,India,Seed,178542.0,2025-03-07,414
Mcmahon Inc,SaaS,India,Series C,155282994.0,2024-05-03,21
"Harris, Brady and Scott",Education,USA,Seed,257826.0,2021-03-01,74
"Swanson, Williams and Wong",Finance,UK,Seed,110959.0,2021-01-25,394
"Parker, Hunt and Turner",Education,UK,Series B,31440547.0,2021-03-21,88
Lang Group,Tech,France,Series A,8370036.0,2025-07-31,77
Rice-Wright,E-commerce,India,Series A,9019483.0,2016-04-25,380
"Flores, Thomas and Rodriguez",Health,Canada,Series A,1505157.0,2024-05-22,177
"Cohen, Galloway and Rush",AI,France,Seed,444818.0,2019-01-20,131
Conner-Bryan,Finance,Netherlands,Seed,307067.0,2023-11-25,104
Smith-Soto,Tech,Netherlands,Series A,1065256.0,2017-03-09,127
Brennan and Sons,Health,UK,Series C,166884916.0,2017-03-19,10
Santos-Carter,Health,India,Series A,6688114.0,2019-02-08,382
"Graves, Shepherd and Washington",Education,Australia,Series B,49598037.0,2020-10-21,424
"Torres, Mullins and Smith",AI,India,Series C,109619731.0,2025-12-12,318
"Williams, Henderson and Harris",E-commerce,France,IPO,239989192.0,2023-05-24,359
Fischer Group,E-commerce,Canada,Seed,186552.0,2016-05-16,402
Potter Group,Gaming,Netherlands,Series C,196007121.0,2020-07-06,500
"Rodriguez, Williams and Lewis",E-commerce,France,Series C,111708662.0,2018-01-30,440
Gonzalez Group,Health,France,Series B,44561471.0,2022-05-10,149
Lowery-Smith,Education,Canada,Series C,188504402.0,2025-05-05,365
Roberts PLC,Education,Netherlands,IPO,790906153.0,2020-11-07,490
Hill-Romero,E-commerce,India,Seed,295476.0,2021-02-11,30
Abbott-Blanchard,Finance,UK,Series C,125874928.0,2016-06-22,45
"Peterson, Fernandez and Harris",Gaming,Australia,Seed,188713.0,2022-01-10,441
"Petersen, Horn and Lloyd",Tech,India,Series A,9050396.0,2022-02-27,399
Lewis Ltd,Finance,USA,IPO,604186552.0,2016-09-07,342
Bailey-Patton,Gaming,France,Series B,36190349.0,2017-11-28,65
"Cain, Villanueva and Alvarado",Tech,India,Series C,56691594.0,2019-06-23,447
"Arnold, Lewis and Delgado",Health,India,Series B,12091871.0,2016-07-24,460
"Bryant, Clark and Murphy",E-commerce,Canada,Series C,162452635.0,2020-01-14,368
Miller-Curtis,E-commerce,Netherlands,Seed,269222.0,2023-03-23,127
Boone-Flores,Finance,France,Series C,172615126.0,2017-08-12,329
Hunter-Nichols,E-commerce,Netherlands,Series B,43624439.0,2020-10-20,178
Mcintyre-Williams,E-commerce,Netherlands,IPO,996485418.0,2020-07-23,253
Madden-Rogers,Education,Netherlands,Series C,130854297.0,2016-07-10,240
Grant PLC,Education,India,Series B,22355049.0,2023-09-02,256
Morrison-Valencia,Health,Germany,Series C,80937872.0,2025-03-31,194
Owens-Henderson,Education,Australia,Seed,211300.0,2020-11-03,202
Graham and Sons,Health,USA,Series B,28679386.0,2016-07-13,205
"Woods, Clements and Snyder",AI,Netherlands,Series B,25415182.0,2024-05-07,447
"Edwards, Gomez and Sweeney",Tech,Netherlands,Series A,7368633.0,2025-03-12,448
"Santos, Greer and Mueller",SaaS,Canada,Series B,36685217.0,2019-02-10,483
"Davis, Wright and Rodriguez",Finance,Germany,Series A,3718635.0,2019-03-08,229
Clark-Adams,Tech,France,IPO,394753070.0,2018-02-24,157
Jones-White,AI,UK,Series C,145768490.0,2019-03-19,138
Drake Inc,Education,Netherlands,Series C,184120873.0,2021-09-26,393
"Acosta, Hamilton and Martin",Finance,UK,Series C,165071583.0,2020-04-12,454
Dennis Ltd,AI,UK,Seed,265671.0,2021-04-30,136
Bautista-Lowe,Tech,Netherlands,Series A,5974818.0,2020-01-19,257
Small-Ramirez,Gaming,Australia,Series B,19543359.0,2022-04-07,419
Martin Inc,E-commerce,France,Series B,38782059.0,2020-08-28,107
"Shaw, Martinez and Mckinney",Education,Canada,Series A,7588605.0,2024-08-26,317
Marsh Group,Health,Canada,IPO,705677201.0,2019-01-08,488
Morris Inc,Finance,Canada,Series B,40683760.0,2024-04-20,328
Lucas-Reyes,E-commerce,Germany,Series C,196965074.0,2022-06-24,138
Gibson-King,Tech,Germany,Series C,173793084.0,2021-03-21,345
Chavez-Yang,AI,India,IPO,687307226.0,2025-07-11,35
Reynolds Group,Gaming,Canada,IPO,522803533.0,2020-02-11,391
Wheeler Group,Tech,Australia,Series B,34334764.0,2016-11-17,80
"Ruiz, Collins and Marquez",Finance,Australia,Series B,48532051.0,2025-08-15,419
Bartlett-Vega,Education,Germany,IPO,517586268.0,2023-06-05,193
Myers-Mills,E-commerce,UK,Seed,115896.0,2023-06-15,470
Berger-Warren,E-commerce,Australia,Series A,2815441.0,2016-03-29,450
"Brown, Gomez and Erickson",Gaming,Netherlands,Seed,66570.0,2016-11-03,180
Parker PLC,Tech,Australia,IPO,656304938.0,2017-02-03,208
"Garcia, Waller and Swanson",Tech,India,Series B,30962720.0,2025-09-29,146
"George, Schneider and Johnson",Health,India,Series B,42088410.0,2019-02-14,40
Rowland LLC,SaaS,UK,Seed,191543.0,2019-12-06,117
Ramos-Reed,AI,Australia,Series C,145129142.0,2022-11-19,292
Lewis-Short,E-commerce,Canada,IPO,373381535.0,2021-11-13,305
"Rosario, Hatfield and Strickland",Gaming,France,Series A,3901226.0,2016-10-04,348
Flores Inc,AI,USA,Series B,43476335.0,2018-12-08,174
Holder-Mitchell,Health,Germany,IPO,272297339.0,2023-04-15,486
"Hinton, Schneider and Williams",AI,India,Series B,25161512.0,2023-12-21,439
White-Henry,Education,France,Series C,63104468.0,2024-06-24,369
Lee LLC,E-commerce,France,Series C,181868583.0,2025-06-29,119
Jefferson-Hamilton,SaaS,UK,Series C,165379550.0,2023-12-30,292
Griffin Ltd,Education,Australia,Seed,153098.0,2017-09-28,37
Gutierrez-Morales,AI,France,Series B,38678380.0,2025-05-14,346
Shaffer Group,E-commerce,UK,Series B,45095815.0,2024-03-13,348
Ryan Group,Finance,France,Series B,20169885.0,2024-12-10,387
"Valencia, Davis and Fisher",Gaming,UK,Seed,422283.0,2020-09-28,450
Lynch-Hernandez,Tech,Canada,Series B,21820854.0,2016-01-11,153
Chambers-Boyd,Education,UK,IPO,465044532.0,2016-06-26,480
Rodriguez-Reynolds,SaaS,USA,Seed,111105.0,2019-12-17,279
Cochran-Daniels,AI,France,Seed,108172.0,2024-06-07,67
Strong-Taylor,Tech,India,Seed,221958.0,2025-05-10,147
Sheppard-Tyler,E-commerce,USA,IPO,425586419.0,2020-08-30,498
Thornton Inc,AI,Australia,Series C,57543156.0,2023-12-08,114
Young Ltd,Health,Germany,Series C,91466479.0,2022-02-04,407
Ramirez-Alvarado,Tech,Germany,Series C,65247084.0,2020-11-12,495
"Armstrong, Mccann and Cox",Finance,France,Series B,21471229.0,2016-05-28,231
Lindsey-Aguirre,AI,Netherlands,Series C,191361635.0,2021-12-07,229
"Leon, King and Moore",Gaming,USA,Series B,32844309.0,2024-08-21,90
"Thompson, Skinner and Nelson",E-commerce,UK,Series A,5587315.0,2021-07-07,494
Jones-Anderson,Health,Netherlands,Series B,34617417.0,2023-09-25,252
Martin-Collins,SaaS,UK,Seed,330042.0,2024-08-23,472
Fletcher Inc,Gaming,USA,Series A,8976522.0,2024-09-08,68
Jimenez-Knight,E-commerce,Netherlands,IPO,435545127.0,2018-01-14,114
Ramirez-Taylor,AI,France,Series A,5391732.0,2021-04-21,252
Ramirez-Moore,E-commerce,India,Series A,4443685.0,2017-02-28,151
"Wells, Johnson and Kelley",Health,Canada,IPO,889370062.0,2022-07-01,168
"Murphy, Mccann and Chambers",SaaS,Canada,IPO,616028596.0,2017-11-20,415
Raymond Ltd,Tech,France,Series B,32922019.0,2022-03-29,276
Powers PLC,Gaming,UK,Series A,4916628.0,2025-12-28,353
"Reyes, Johnson and Mason",E-commerce,Canada,Series C,58689180.0,2022-10-22,50
"Rivera, Gonzalez and Bryant",Education,UK,Series A,4453702.0,2016-05-04,315
Flowers-Ward,E-commerce,Canada,IPO,872320890.0,2018-12-20,406
Watkins Inc,Health,Canada,Series A,6788301.0,2021-04-23,322
"Lewis, Kennedy and Perry",SaaS,India,Series A,4476619.0,2025-06-17,319
Garcia LLC,Education,Australia,IPO,308386343.0,2023-09-07,113
Peters-Medina,Gaming,Australia,Series A,1405273.0,2016-10-04,16
"Jordan, Mills and Williams",E-commerce,Netherlands,Seed,461671.0,2018-11-02,417
Garcia-Allen,Finance,Netherlands,Series B,27509140.0,2020-02-16,212
Reynolds LLC,Gaming,Canada,Series C,131328394.0,2025-11-29,438
"Diaz, Nash and Barnes",Tech,Australia,Seed,53472.0,2020-09-09,294
Mendoza-Pierce,SaaS,Australia,Series C,158254537.0,2016-03-04,396
"Hatfield, Patterson and Morrison",Gaming,Canada,Series C,161852375.0,2019-02-26,359
Waters-Dixon,Education,Australia,Series A,5384170.0,2018-06-09,359
Parsons-Holt,Tech,Germany,Series B,18264926.0,2020-06-10,96
"Moore, French and Johnson",Health,Australia,Series A,7293198.0,2021-03-31,307
Wang and Sons,E-commerce,USA,Series A,7800939.0,2018-07-07,399
"Bailey, Beck and Johnson",E-commerce,India,IPO,844904264.0,2025-11-07,12
"Mcgrath, Rosales and Johnson",Finance,Canada,Series C,85188662.0,2019-09-14,121
"Watts, Miller and Sullivan",Education,Canada,Series A,1965847.0,2018-05-23,44
Lane-Watson,Tech,Germany,IPO,338049948.0,2019-09-14,325
"Allen, Schaefer and Lee",Health,UK,Series C,147242577.0,2024-02-08,110
Meyers Group,Education,France,IPO,406138719.0,2017-07-01,409
"Rocha, Miller and Taylor",Gaming,Canada,Series A,8760385.0,2017-10-02,273
Allen-Parks,AI,France,Series C,178482341.0,2025-06-24,396
Brock PLC,Gaming,UK,Series A,5480507.0,2025-02-23,291
Ferguson-Gilbert,Finance,France,Seed,110223.0,2021-02-21,249
Dalton-Alexander,Education,Netherlands,Seed,220673.0,2019-02-07,74
Reid-Garcia,Gaming,USA,Seed,470725.0,2021-01-13,472
Walker Inc,AI,Netherlands,IPO,387703981.0,2017-08-18,340
Cohen Inc,Finance,Australia,IPO,995377297.0,2018-06-03,392
Lara Inc,Tech,France,IPO,709751665.0,2025-08-27,262
Gardner-Williams,Tech,Germany,Seed,445872.0,2023-02-13,342
Moore-Bowen,Tech,Germany,Seed,122710.0,2016-02-16,147
Morrison PLC,Health,Australia,Series A,4739877.0,2019-04-21,48
Nichols-Reynolds,AI,India,IPO,580871568.0,2023-05-21,482
Harrell PLC,E-commerce,UK,Seed,77008.0,2022-06-22,316
"Davila, Martinez and Peters",Finance,India,Seed,125676.0,2019-09-16,58
"Phillips, Kirby and Floyd",Finance,Netherlands,Series B,14864269.0,2020-05-11,365
Carlson-Johnson,Education,USA,Series A,8221999.0,2016-01-30,287
"Lane, Davis and Hall",E-commerce,France,Series B,45260957.0,2016-09-27,285
"Stewart, Johnson and Jones",E-commerce,Canada,IPO,802862916.0,2018-04-17,56
Jackson-Carroll,AI,India,Series A,5345963.0,2024-08-17,42
Jones-Rodriguez,Education,India,Series C,147712543.0,2016-05-27,14
"Graham, Mcpherson and Yu",SaaS,Netherlands,IPO,900098218.0,2016-03-02,306
Grant-Mckinney,AI,UK,Seed,118157.0,2019-04-27,259
Crawford PLC,AI,USA,IPO,908292086.0,2018-02-10,135
"Trevino, Yu and Roberts",Health,India,Series C,139862992.0,2024-05-06,341
"Dennis, Anderson and Lynch",E-commerce,France,IPO,657682844.0,2018-07-29,496
Jefferson-Smith,E-commerce,Germany,Series A,5831813.0,2017-05-09,466
"Hunt, Bradley and Gonzalez",Tech,Canada,IPO,955201538.0,2022-09-14,473
Harris and Sons,Tech,India,Series C,154413009.0,2024-03-06,239
"Sanders, Sanchez and Weber",Education,France,Series C,63565809.0,2020-04-25,388
"Willis, Yates and Ross",Tech,India,Series B,26220112.0,2019-08-26,96
"Campbell, Caldwell and Raymond",Gaming,USA,Seed,312286.0,2019-12-18,168
Silva Ltd,AI,India,Series C,142059030.0,2025-12-16,191
Chan and Sons,E-commerce,UK,Seed,330108.0,2017-10-28,490
"Bates, Anderson and Mckinney",Gaming,UK,IPO,279443386.0,2024-11-29,262
Nichols-Smith,Gaming,USA,Seed,258201.0,2024-08-11,74
Kelly-Curry,E-commerce,Canada,Seed,313228.0,2025-06-12,138
Morris Group,Tech,UK,IPO,395028177.0,2022-01-04,328
Wu-Collins,SaaS,Canada,Series A,6664557.0,2023-09-05,232
"Boyd, Williams and Morales",E-commerce,Germany,IPO,929216017.0,2020-08-02,462
"Baird, Phillips and Thompson",SaaS,USA,Series C,167451991.0,2023-08-02,249
"Silva, Morales and Mendoza",SaaS,Germany,Seed,190281.0,2016-01-13,403
"Watts, Johnson and Kelley",SaaS,Netherlands,Seed,264487.0,2024-10-11,398
Peters Ltd,Health,Canada,Series C,58528890.0,2021-10-25,158
"Bradford, Cuevas and Roberts",Education,Australia,Series C,135416339.0,2024-04-19,496
"May, Johnson and Wells",Health,UK,IPO,230498685.0,2018-05-09,34
Carlson-Romero,Education,Canada,IPO,433060465.0,2021-06-02,227
"Hubbard, Ruiz and Webb",AI,Netherlands,IPO,608561619.0,2023-01-17,499
"Rivera, Walters and Mitchell",Health,France,IPO,734703214.0,2021-07-27,318
"Norton, Kelly and Diaz",Gaming,India,Series C,145782158.0,2021-05-26,10
"Martin, Peterson and Kennedy",Education,Germany,Series B,28002835.0,2025-07-08,146
Clayton-Pineda,Gaming,Australia,Seed,67071.0,2023-09-02,412
"Barnett, Williams and Williams",AI,UK,Seed,372053.0,2023-11-08,441
Anderson-Oliver,Education,Australia,Series A,4726926.0,2021-09-18,219
"Holmes, Washington and Gonzales",AI,Netherlands,IPO,361586657.0,2016-07-29,114
Allen LLC,Finance,UK,Series B,11631560.0,2024-11-02,263
Harris-Bates,Gaming,Canada,IPO,875845028.0,2021-01-22,264
Hart Ltd,Education,Germany,Series C,187581389.0,2023-06-25,7
"Allison, Williamson and Benson",Health,USA,Series A,1933789.0,2023-01-24,428
"Fischer, Lawson and Le",Health,Canada,Series C,112694424.0,2018-10-24,260
"Baker, Montes and Holmes",AI,USA,Series B,15898104.0,2018-02-13,347
"Webb, Travis and Smith",Tech,Australia,Series C,122470645.0,2024-06-20,476
"Schwartz, Carter and Matthews",SaaS,Australia,IPO,549709657.0,2020-07-19,323
"Gonzalez, Howard and Perez",Gaming,France,Series C,158159781.0,2025-12-09,123
"Johnson, Sherman and Chase",Health,Canada,Series B,25075728.0,2019-02-08,321
Vaughn LLC,AI,Australia,Seed,173453.0,2025-04-08,170
"Hendrix, Lee and Torres",SaaS,UK,Seed,391345.0,2022-03-29,414
Stein Ltd,Education,France,IPO,832783178.0,2024-07-20,488
Villarreal LLC,Tech,USA,Series C,92366592.0,2022-10-21,464
"Mccall, Daniels and Dixon",AI,Netherlands,IPO,268528747.0,2020-11-04,451
Stevens PLC,Tech,USA,Series B,14419576.0,2024-05-01,195
Maynard LLC,Finance,India,Series C,134075124.0,2018-12-30,409
"Gordon, Hamilton and Maldonado",Finance,Netherlands,Series A,1945513.0,2019-07-07,140
"Lopez, Davis and Greer",SaaS,Australia,Seed,56769.0,2025-05-01,155
Sutton-Chambers,E-commerce,France,Series C,190688251.0,2020-05-28,425
"Lane, Wilson and Parrish",AI,Germany,Series B,12938344.0,2018-03-18,344
Potts-Jones,Education,Australia,Series A,6607273.0,2023-10-07,172
Alexander-Adkins,Tech,France,Series B,23942817.0,2020-05-06,433
Nicholson PLC,Tech,Australia,Series A,1217597.0,2020-02-10,499
Harrison and Sons,Finance,Netherlands,Series B,41186660.0,2020-10-17,381
Green-Lopez,Education,France,IPO,967415004.0,2024-10-15,190
"Collier, Randolph and Sellers",Tech,Germany,IPO,256702032.0,2022-08-21,238
"Walker, Golden and Patel",SaaS,USA,IPO,489509929.0,2025-08-30,170
Garcia-Benton,E-commerce,France,Series C,73298684.0,2016-12-01,393
"Smith, Holmes and Wheeler",E-commerce,France,Series B,38731511.0,2020-04-07,121
Vaughn-Jensen,Health,Australia,IPO,597032965.0,2021-09-23,338
